ID,Count,Noun,Verb,Letter,adjective,morphological,The,diacritic
343,5,6,0,0,0,6,0,2
344,4,0,3,0,0,2,0,2
345,4,0,3,0,0,2,0,3
346,4,0,3,0,0,2,0,3
347,4,6,0,0,0,1,1,1
348,7,0,1,0,0,8,0,2
349,8,6,0,0,0,5,1,1
350,6,0,3,0,0,2,0,3
351,7,6,0,0,0,4,1,1
352,4,6,0,0,0,1,0,1
353,4,6,0,0,0,1,0,1
354,5,0,3,0,0,2,0,1
355,3,6,0,0,0,1,0,2
356,5,0,1,0,0,2,0,3
357,4,6,0,0,0,2,1,1
358,5,6,0,0,0,6,0,1
359,3,0,3,0,0,2,0,1
360,4,0,1,0,0,2,0,1
361,4,0,3,0,0,2,0,1
362,4,0,0,0,1,2,0,1
363,4,0,0,0,1,2,0,1
364,4,0,0,0,1,2,0,1
365,4,0,0,0,1,2,0,1
366,4,0,0,0,1,2,0,1
367,4,0,0,0,1,2,0,1
368,4,0,0,0,1,2,0,1
369,4,0,0,0,1,2,0,1
370,4,0,0,0,1,2,0,1
371,4,5,0,0,1,2,0,1
372,3,5,0,0,0,1,0,2
373,4,5,0,0,0,1,0,2
374,5,5,0,0,0,1,0,1
375,2,5,0,0,0,1,0,1
376,4,5,0,0,0,1,0,1
